	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
277	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Ziphiidae,Mesoplodon,Mesoplodon densirostris	Mesoplodon densirostris		48708	Blainville's beaked whale	Artiodactyla	9.0	1088000.0		46.65	27.0	no age record available	no age record available	no age record available	no age record available	27.0	0.58	27.0	
278	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Ziphiidae,Ziphius,Ziphius cavirostris	Ziphius cavirostris		9760	Cuvier's beaked whale	Artiodactyla	5.94	2701000.0		55.24	62.0	no age record available	no age record available	no age record available	no age record available	62.0	1.12		
279	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yinpterochiroptera,Rhinolophoidea,Hipposideridae,Hipposideros,Hipposideros fulvus	Hipposideros fulvus		599854	Fulvus roundleaf bat	Chiroptera	1.54	7.0		5.05	13.0	no age record available	no age record available	no age record available	no age record available	13.0	2.57		
280	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Molossidae,Tadarida,Tadarida brasiliensis	Tadarida brasiliensis		9438	Brazilian free-tailed bat	Chiroptera	0.75	12.5	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	5.62	15.0	no age record available	no age record available	no age record available	no age record available	15.0	2.67		
281	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Noctilionidae,Noctilio,Noctilio leporinus	Noctilio leporinus		94963	Greater bulldog bat	Chiroptera	1.0	50.0		7.28	11.8	no age record available	no age record available	no age record available	no age record available	11.8	1.62		
282	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Phyllostomidae,Glossophaginae,Anoura,Anoura geoffroyi	Anoura geoffroyi		148021	Geoffroy's tailless bat	Chiroptera	0.84	15.2	Age at female sexual maturity filled using lineage; 	5.83	10.0	no age record available	no age record available	no age record available	no age record available	10.0	1.71		
283	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus jamaicensis	Artibeus jamaicensis		9417	Jamaican fruit-eating bat	Chiroptera	0.79	42.2		7.05	19.2	no age record available	no age record available	no age record available	no age record available	19.2	2.72		
284	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Phyllostomidae,Carolliinae,Carollia,Carollia perspicillata	Carollia perspicillata	Available	40233	Seba's short-tailed bat	Chiroptera	0.71	15.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	5.82	17.0	10.0	10.75	11.18	11.76	12.08	2.08		
285	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Phyllostomidae,Desmodontinae,Desmodus,Desmodus rotundus	Desmodus rotundus	Available	9430	Vampire bat	Chiroptera	0.78	33.2		6.74	29.2	16.8	18.77	18.64	19.29	29.2	4.33	19.5	
286	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Phyllostomidae,Glossophaginae,Glossophaga,Glossophaga soricina	Glossophaga soricina	Available	27638	Pallas's long-tongued bat	Chiroptera	0.84	10.0	Age at female sexual maturity filled using lineage; 	5.4	16.64	12.3	16.1	15.53	16.64	16.5	3.06	16.64	16.64
287	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Phyllostomidae,Phyllostominae,Macrotus,Macrotus californicus	Macrotus californicus		9419	California leaf-nosed bat	Chiroptera	0.33	11.6		5.55	17.0	no age record available	no age record available	no age record available	no age record available	17.0	3.07		
288	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Phyllostomidae,Stenodermatinae,Platyrrhinus,Platyrrhinus lineatus	Platyrrhinus lineatus		410852	White-lined broad-nosed bat	Chiroptera	0.79	22.0	Age at female sexual maturity filled using lineage; 	6.25	13.0	no age record available	no age record available	no age record available	no age record available	13.0	2.08		
289	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yinpterochiroptera,Pteropodoidea,Pteropodidae,Pteropodinae,Eidolon,Eidolon helvum	Eidolon helvum		77214	Straw-colored fruit bat	Chiroptera	1.18	306.25		10.2	21.8	no age record available	no age record available	no age record available	no age record available	21.8	2.14		
290	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yinpterochiroptera,Pteropodoidea,Pteropodidae,Pteropodinae,Pteropus,Pteropus vampyrus	Pteropus vampyrus		132908	Large flying fox	Chiroptera	1.0	1175.0		13.09	44.0	no age record available	no age record available	no age record available	no age record available	44.0	3.36		
291	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yinpterochiroptera,Pteropodoidea,Pteropodidae,Rousettinae,Rousettus,Rousettus aegyptiacus	Rousettus aegyptiacus	Available	9407	Egyptian rousette	Chiroptera	1.0	125.0		8.63	26.25	12.76	14.85	15.73	17.84	18.95	2.2	23.16	26.25
292	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yinpterochiroptera,Rhinolophoidea,Rhinolophidae,Rhinolophinae,Rhinolophus,Rhinolophus ferrumequinum	Rhinolophus ferrumequinum		59479	Greater horseshoe bat	Chiroptera	2.0	22.88		6.29	30.5	no age record available	no age record available	no age record available	no age record available	30.5	4.85		
293	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yinpterochiroptera,Rhinolophoidea,Rhinolophidae,Rhinolophinae,Rhinolophus,Rhinolophus hipposideros	Rhinolophus hipposideros		77218	Lesser horseshoe bat	Chiroptera	1.37	4.6		4.67	29.4	no age record available	no age record available	no age record available	no age record available	29.4	6.3		
294	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Antrozous,Antrozous pallidus	Antrozous pallidus		9440	Pallid bat	Chiroptera	1.0	20.8		6.18	14.8	no age record available	no age record available	no age record available	no age record available	14.8	2.39		
295	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Barbastella,Barbastella barbastellus	Barbastella barbastellus		59449	Western barbastelle	Chiroptera	1.5	10.25		5.42	23.0	no age record available	no age record available	no age record available	no age record available	23.0	4.24		
296	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Eptesicus,Eptesicus fuscus	Eptesicus fuscus	Available	29078	Big brown bat	Chiroptera	1.5	23.0		6.3	20.17	12.21	15.76	15.5	17.49	18.26	2.9	20.17	19.66
297	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Cnephaeus,Cnephaeus serotinus	Cnephaeus serotinus		3371021	Serotine	Chiroptera	0.96	18.2	Age at female sexual maturity filled using lineage; 	6.03	21.0	no age record available	no age record available	no age record available	no age record available	21.0	3.48		
298	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans	Lasionycteris noctivagans		27667	Silver-haired bat	Chiroptera	0.42	10.0		5.4	12.0	no age record available	no age record available	no age record available	no age record available	12.0	2.22		
299	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Lasiurus,Lasiurus cinereus	Lasiurus cinereus		257879	Hoary bat	Chiroptera	0.96	24.0	Age at female sexual maturity filled using lineage; 	6.35	14.0	no age record available	no age record available	no age record available	no age record available	14.0	2.21		2.1
300	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Chiroptera,Yangochiroptera,Miniopteridae,Miniopterus,Miniopterus schreibersii	Miniopterus schreibersii		9433	Schreibers's long-fingered bat	Chiroptera	1.58	13.0		5.66	22.0	no age record available	no age record available	no age record available	no age record available	22.0	3.88		
