	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
1082	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Neotoma,Neotoma micropus	Neotoma micropus		105150	Southern plains woodrat	Rodentia	0.37	236.3		9.72	2.25	no age record available	no age record available	no age record available	no age record available	2.25	0.23		
1083	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus californicus	Peromyscus californicus		42520	California mouse	Rodentia	0.13	42.0		7.05	5.5	no age record available	no age record available	no age record available	no age record available	5.5	0.78		
1084	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus crinitus	Peromyscus crinitus		144753	Canyon mouse	Rodentia	0.19	16.5		5.92	7.7	no age record available	no age record available	no age record available	no age record available	7.7	1.3		
1085	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus eremicus	Peromyscus eremicus	Available	42410	Cactus mouse	Rodentia	0.35	25.0		6.4	7.4	5.05	5.46	5.58	5.81	5.93	0.93	5.59	6.11
1086	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus guatemalensis	Peromyscus guatemalensis		409024	Guatemalan deer mouse	Rodentia	0.14	40.0		6.98	5.7	no age record available	no age record available	no age record available	no age record available	5.7	0.82		
1087	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus leucopus	Peromyscus leucopus	Available	10041	White-footed mouse	Rodentia	0.2	23.0		6.3	7.9	5.38	5.51	5.58	5.71	7.9	1.25	5.2	5.71
1088	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus polionotus	Peromyscus polionotus	Available	42413	Oldfield mouse	Rodentia	0.08	14.0		5.74	6.81	4.44	4.71	4.85	5.13	5.37	0.93	6.81	5.4
1089	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus truei	Peromyscus truei		89101	Pinyon mouse	Rodentia	0.14	25.0		6.4	5.4	no age record available	no age record available	no age record available	no age record available	5.4	0.84		
1090	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Cricetinae,Phodopus,Phodopus roborovskii	Phodopus roborovskii		109678	Desert hamster	Rodentia	0.67	16.0	Mass filled from web encyclopedia; 	5.89	4.8	no age record available	no age record available	no age record available	no age record available	4.8	0.82		
1091	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Podomys,Podomys floridanus	Podomys floridanus		56323	Florida mouse	Rodentia	0.11	32.0		6.7	7.42	no age record available	no age record available	no age record available	no age record available	7.42	1.11		
1092	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomys,Reithrodontomys humulis	Reithrodontomys humulis		129430	Eastern harvest mouse	Rodentia	0.29	10.3		5.42	2.25	no age record available	no age record available	no age record available	no age record available	2.25	0.41		
1093	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Ctenodactylidae,Ctenodactylus,Ctenodactylus gundi	Ctenodactylus gundi	Available	10166	Gundi	Rodentia	0.87	288.8		10.08	9.69	6.32	7.07	7.4	8.09	8.47	0.84	8.94	9.69
1094	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Cuniculidae,Cuniculus,Cuniculus taczanowskii	Cuniculus taczanowskii		143288	Mountain paca	Rodentia	0.94	8999.9		19.12	18.9	no age record available	no age record available	no age record available	no age record available	18.9	0.99		
1095	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Dasyproctidae,Dasyprocta,Dasyprocta azarae	Dasyprocta azarae		1541202	Azara's agouti	Rodentia	0.93	2650.0	Age at female sexual maturity filled using lineage; 	15.23	11.8	no age record available	no age record available	no age record available	no age record available	11.8	0.77		
1096	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Dasyproctidae,Dasyprocta,Dasyprocta fuliginosa	Dasyprocta fuliginosa		193455	Black agouti	Rodentia	0.93	3500.0	Age at female sexual maturity filled using lineage; 	16.04	18.0	no age record available	no age record available	no age record available	no age record available	18.0	1.12		
1097	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Dasyproctidae,Dasyprocta,Dasyprocta ruatanica	Dasyprocta ruatanica		3082515	Ruatan island agouti, or Ruatan agouti	Rodentia	0.93	4000.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	16.44	13.7	no age record available	no age record available	no age record available	no age record available	13.7	0.83		
1098	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Dipodoidea,Dipodidae,Allactaginae,Scarturus,Scarturus elater	Scarturus elater		73861	Small five-toed jerboa	Rodentia	0.39	58.7		7.5	5.2	no age record available	no age record available	no age record available	no age record available	5.2	0.69		
1099	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Dipodoidea,Dipodidae,Allactaginae,Allactaga,Allactaga major	Allactaga major		233182	Great jerboa	Rodentia	1.03	350.0		10.45	7.0	no age record available	no age record available	no age record available	no age record available	7.0	0.67		
1100	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Dipodoidea,Dipodidae,Allactaginae,Orientallactaga,Orientallactaga sibirica	Orientallactaga sibirica		234626	Mongolian five-toed jerboa	Rodentia	0.71	117.5	Age at female sexual maturity filled using lineage; 	8.53	4.5	no age record available	no age record available	no age record available	no age record available	4.5	0.53		
1101	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Dipodoidea,Dipodidae,Dipodinae,Jaculus,Jaculus jaculus	Jaculus jaculus	Available	51337	Lesser Egyptian jerboa	Rodentia	0.9	55.0		7.41	10.08	5.65	6.53	6.95	7.84	8.29	1.12	10.08	8.72
1102	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Dipodoidea,Dipodidae,Dipodinae,Jaculus,Jaculus orientalis	Jaculus orientalis		48868	Greater Egyptian jerboa	Rodentia	0.9	134.0	Age at female sexual maturity filled using lineage; 	8.74	5.5	no age record available	no age record available	no age record available	no age record available	5.5	0.63		
1103	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Echimyidae,Hoplomys,Hoplomys gymnurus	Hoplomys gymnurus		176501	Armored rat	Rodentia	0.39	504.0	Age at female sexual maturity filled using lineage; 	11.19	7.0	no age record available	no age record available	no age record available	no age record available	7.0	0.63		
1104	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Echimyidae,Proechimys,Proechimys brevicauda	Proechimys brevicauda		2025600	Andean spiny rat, or Short-tailed spiny-rat	Rodentia	0.41	285.0		10.06	6.8	no age record available	no age record available	no age record available	no age record available	6.8	0.68		
1105	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Echimyidae,Thrichomys,Thrichomys apereoides	Thrichomys apereoides		43327	Common punare, or Brazilian spiny rat	Rodentia	0.49	373.5		10.58	7.0	no age record available	no age record available	no age record available	no age record available	7.0	0.66		
1106	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Erethizontidae,Coendou,Coendou mexicanus	Coendou mexicanus		637443	Mexican hairy dwarf porcupine	Rodentia	1.58	2000.0	Age at female sexual maturity filled using lineage; 	14.45	16.7	no age record available	no age record available	no age record available	no age record available	16.7	1.16		
1107	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Geomyidae,Thomomys,Thomomys bottae	Thomomys bottae		10013	Botta's pocket gopher	Rodentia	0.87	115.5		8.5	7.12	no age record available	no age record available	no age record available	no age record available	7.12	0.72	1.0	7.12
1108	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Leithiinae,Eliomys,Eliomys melanurus	Eliomys melanurus		221695	Asian garden dormouse	Rodentia	1.5	122.5		8.6	6.2	no age record available	no age record available	no age record available	no age record available	6.2	0.72		
1109	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Glirinae,Glirulus,Glirulus japonicus	Glirulus japonicus		55147	Japanese dormouse	Rodentia	0.4	27.0		6.49	7.0	no age record available	no age record available	no age record available	no age record available	7.0	1.08		
1110	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Graphiurinae,Graphiurus,Graphiurus platyops	Graphiurus platyops		221699	Rock dormouse	Rodentia	1.0	46.1	Age at female sexual maturity filled using lineage; 	7.17	7.3	no age record available	no age record available	no age record available	no age record available	7.3	1.02		
1111	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Perognathinae,Chaetodipus,Chaetodipus nelsoni	Chaetodipus nelsoni		145412	Nelson's pocket mouse	Rodentia	0.73	14.4	Age at female sexual maturity filled using lineage; 	5.77	2.58	no age record available	no age record available	no age record available	no age record available	2.58	0.45		
1112	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Dipodomyinae,Dipodomys,Dipodomys deserti	Dipodomys deserti		284671	Desert kangaroo rat	Rodentia	0.14	116.0		8.51	9.0	no age record available	no age record available	no age record available	no age record available	9.0	1.06		
1113	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Dipodomyinae,Dipodomys,Dipodomys heermanni	Dipodomys heermanni		10018	Heermann's kangaroo rat	Rodentia	0.15	65.0		7.64	8.3	no age record available	no age record available	no age record available	no age record available	8.3	1.09		
1114	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Dipodomyinae,Dipodomys,Dipodomys merriami	Dipodomys merriami		94247	Merriam's kangaroo rat	Rodentia	0.28	42.0		7.05	9.7	no age record available	no age record available	no age record available	no age record available	9.7	1.38		
1115	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Perognathinae,Perognathus,Perognathus amplus	Perognathus amplus		38408	Arizona pocket mouse	Rodentia	0.31	11.7	Age at female sexual maturity filled using lineage; 	5.55	5.9	no age record available	no age record available	no age record available	no age record available	5.9	1.06		
1116	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Perognathinae,Perognathus,Perognathus merriami	Perognathus merriami		38670	Merriam's pocket mouse	Rodentia	0.31	8.0	Age at female sexual maturity filled using lineage; 	5.18	2.5	no age record available	no age record available	no age record available	no age record available	2.5	0.48		
1117	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Perognathinae,Perognathus,Perognathus parvus	Perognathus parvus		38671	Great Basin pocket mouse	Rodentia	0.27	20.1		6.14	5.8	no age record available	no age record available	no age record available	no age record available	5.8	0.94		
1118	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Hystricidae,Hystrix,Hystrix africaeaustralis	Hystrix africaeaustralis		10138	Cape porcupine	Rodentia	1.03	24000.0		22.95	23.1	no age record available	no age record available	no age record available	no age record available	23.1	1.01		
1119	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Hystricidae,Hystrix,Hystrix cristata	Hystrix cristata		10137	African porcupine	Rodentia	0.9	20000.0		22.18	28.0	no age record available	no age record available	no age record available	no age record available	28.0	1.26		
1120	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Hystricidae,Hystrix,Hystrix indica	Hystrix indica		192883	Indian crested porcupine	Rodentia	0.94	20000.0	Age at female sexual maturity filled using lineage; 	22.18	27.1	no age record available	no age record available	no age record available	no age record available	27.1	1.22		
1121	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Deomyinae,Acomys,Acomys cilicicus	Acomys cilicicus		83530	Turkish spiny mouse	Rodentia	0.19	48.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	7.22	4.0	no age record available	no age record available	no age record available	no age record available	4.0	0.55		
1122	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Deomyinae,Acomys,Acomys russatus	Acomys russatus	Available	60746	Golden spiny mouse	Rodentia	0.25	54.4		7.39	6.59	3.96	4.26	4.91	5.93	5.98	0.81	5.84	6.59
1123	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Deomyinae,Acomys,Acomys wilsoni	Acomys wilsoni		37436	Wilson's spiny mouse	Rodentia	0.19	20.0	Age at female sexual maturity filled using lineage; 	6.14	5.6	no age record available	no age record available	no age record available	no age record available	5.6	0.91		
1124	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Apodemus,Apodemus argenteus	Apodemus argenteus		61837	Small Japanese field mouse	Rodentia	0.17	23.4		6.32	5.0	no age record available	no age record available	no age record available	no age record available	5.0	0.79		
1125	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Apodemus,Apodemus peninsulae	Apodemus peninsulae		105297	Korean field mouse	Rodentia	0.14	32.9		6.73	4.4	no age record available	no age record available	no age record available	no age record available	4.4	0.65		
1126	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Apodemus,Apodemus speciosus	Apodemus speciosus		105296	Large Japanese field mouse	Rodentia	0.25	44.0		7.11	5.3	no age record available	no age record available	no age record available	no age record available	5.3	0.75		
1127	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Arvicanthis,Arvicanthis niloticus	Arvicanthis niloticus	Available	61156	Nile kusu	Rodentia	0.12	110.0		8.43	6.7	3.78	3.85	3.9	3.97	3.98	0.47	4.0	4.0
1128	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Chiropodomys,Chiropodomys gliroides	Chiropodomys gliroides		491874	Pencil-tailed tree mouse	Rodentia	0.28	29.0		6.58	3.6	no age record available	no age record available	no age record available	no age record available	3.6	0.55		
1129	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Conilurus,Conilurus penicillatus	Conilurus penicillatus		10127	Brush-tailed rabbit rat	Rodentia	0.28	144.0	Age at female sexual maturity filled using lineage; 	8.86	4.5	no age record available	no age record available	no age record available	no age record available	4.5	0.51		
1130	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Crateromys,Crateromys heaneyi	Crateromys heaneyi		349701	Panay crateromys	Rodentia	0.28	1000.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	12.71	8.8	no age record available	no age record available	no age record available	no age record available	8.8	0.69		
1131	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Desmodillus,Desmodillus auricularis	Desmodillus auricularis		298896	Cape short-eared gerbil	Rodentia	0.24	54.5	Age at female sexual maturity filled using lineage; 	7.4	6.1	no age record available	no age record available	no age record available	no age record available	6.1	0.82		
1132	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Dipodillus,Dipodillus campestris	Dipodillus campestris		41199	North African gerbil	Rodentia	0.24	28.4	Age at female sexual maturity filled using lineage; 	6.55	7.3	no age record available	no age record available	no age record available	no age record available	7.3	1.11		
1133	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Gerbilliscus,Gerbilliscus afer	Gerbilliscus afer		3370000	Cape gerbil	Rodentia	0.42	74.8		7.84	5.7	no age record available	no age record available	no age record available	no age record available	5.7	0.73		
1134	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Gerbilliscus,Gerbilliscus validus	Gerbilliscus validus		410306	Southern savanna gerbil	Rodentia	0.27	113.0		8.47	5.0	no age record available	no age record available	no age record available	no age record available	5.0	0.59		
1135	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Gerbillus,Gerbillus gerbillus	Gerbillus gerbillus		298880	Lesser Egyptian gerbil	Rodentia	0.23	30.0	Age at female sexual maturity filled using lineage; 	6.62	5.9	no age record available	no age record available	no age record available	no age record available	5.9	0.89		
1136	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Gerbillus,Gerbillus nanus	Gerbillus nanus		298881	Baluchistan gerbil	Rodentia	0.23	18.5	Age at female sexual maturity filled using lineage; 	6.05	4.5	no age record available	no age record available	no age record available	no age record available	4.5	0.74		
1137	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Gerbillus,Gerbillus perpallidus	Gerbillus perpallidus		522528	Pale gerbil	Rodentia	0.25	50.0		7.28	5.5	no age record available	no age record available	no age record available	no age record available	5.5	0.76		
1138	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Hydromys,Hydromys chrysogaster	Hydromys chrysogaster		160448	Golden-bellied water rat	Rodentia	0.45	850.0		12.33	7.3	no age record available	no age record available	no age record available	no age record available	7.3	0.59		
1139	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Lemniscomys,Lemniscomys barbarus	Lemniscomys barbarus		54111	Barbary striped grass mouse	Rodentia	0.46	26.2	Age at female sexual maturity filled using lineage; 	6.45	4.4	no age record available	no age record available	no age record available	no age record available	4.4	0.68		
1140	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Leporillus,Leporillus conditor	Leporillus conditor		253152	Greater stick-nest rat	Rodentia	0.62	332.5		10.35	5.3	no age record available	no age record available	no age record available	no age record available	5.3	0.51		
1141	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones libycus	Meriones libycus		298886	Libyan jird	Rodentia	0.25	100.0		8.28	5.2	no age record available	no age record available	no age record available	no age record available	5.2	0.63		
1142	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones meridianus	Meriones meridianus		261754	Mid-day jird	Rodentia	0.2	53.0	Age at female sexual maturity filled using lineage; 	7.36	6.8	no age record available	no age record available	no age record available	no age record available	6.8	0.92		
1143	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones persicus	Meriones persicus		1395794	Persian jird	Rodentia	0.2	100.0	Age at female sexual maturity filled using lineage; 	8.28	6.0	no age record available	no age record available	no age record available	no age record available	6.0	0.72		
1144	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones vinogradovi	Meriones vinogradovi		1920703	Vinogradov's jird	Rodentia	0.2	150.0	Age at female sexual maturity filled using lineage; 	8.93	6.7	no age record available	no age record available	no age record available	no age record available	6.7	0.75		
1145	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Mesembriomys,Mesembriomys macrurus	Mesembriomys macrurus		442659	Golden-backed tree rat	Rodentia	0.19	268.5	Age at female sexual maturity filled using lineage; 	9.95	7.1	no age record available	no age record available	no age record available	no age record available	7.1	0.71		
1146	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Micaelamys,Micaelamys namaquensis	Micaelamys namaquensis		472707	Namaqua rock rat, or Rock mouse	Rodentia	0.28	47.6	Age at female sexual maturity filled using lineage; 	7.21	4.7	no age record available	no age record available	no age record available	no age record available	4.7	0.65		
1147	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Mus,Mus,Mus spicilegus	Mus spicilegus		10103	Mound-building mouse	Rodentia	0.18	19.9		6.13	3.5	no age record available	no age record available	no age record available	no age record available	3.5	0.57		
1148	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Notomys,Notomys mitchellii	Notomys mitchellii		442590	Mitchell's hopping mouse	Rodentia	0.2	52.0		7.33	5.3	no age record available	no age record available	no age record available	no age record available	5.3	0.72		
1149	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Phloeomys,Phloeomys cumingi	Phloeomys cumingi		248813	Slender-tailed cloud rat	Rodentia	0.28	1750.0	Age at female sexual maturity filled using lineage; 	14.1	13.6	no age record available	no age record available	no age record available	no age record available	13.6	0.96		
1150	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Phloeomys,Phloeomys pallidus	Phloeomys pallidus		1330388	Northern Luzon slender-tailed cloud rat	Rodentia	0.28	1744.0	Age at female sexual maturity filled using lineage; 	14.09	10.7	no age record available	no age record available	no age record available	no age record available	10.7	0.76		
1151	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Psammomys,Psammomys obesus	Psammomys obesus		48139	Fat sand rat	Rodentia	0.27	212.0		9.52	3.2	no age record available	no age record available	no age record available	no age record available	3.2	0.34		
1152	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Pseudomys,Pseudomys chapmani	Pseudomys chapmani		221128	Western pebble-mound mouse	Rodentia	0.69	12.0	Age at female sexual maturity filled using lineage; 	5.58	6.8	no age record available	no age record available	no age record available	no age record available	6.8	1.22		
1153	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Pseudomys,Pseudomys fumeus	Pseudomys fumeus		442609	Smoky mouse	Rodentia	0.69	70.0	Age at female sexual maturity filled using lineage; 	7.75	6.5	no age record available	no age record available	no age record available	no age record available	6.5	0.84		
1154	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Pseudomys,Pseudomys laborifex	Pseudomys laborifex		442613	Kimberly mouse	Rodentia	0.69	12.0	Age at female sexual maturity filled using lineage; 	5.58	6.9	no age record available	no age record available	no age record available	no age record available	6.9	1.24		
1155	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Pseudomys,Pseudomys shortridgei	Pseudomys shortridgei		442619	Heath mouse	Rodentia	0.92	64.0		7.62	6.0	no age record available	no age record available	no age record available	no age record available	6.0	0.79		
1156	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattus,Rattus fuscipes	Rattus fuscipes		10119	Bush rat	Rodentia	0.29	130.0		8.69	5.3	no age record available	no age record available	no age record available	no age record available	5.3	0.61		
1157	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattus,Rattus lutreolus	Rattus lutreolus		472760	Australian swamp rat	Rodentia	0.22	115.0		8.5	4.4	no age record available	no age record available	no age record available	no age record available	4.4	0.52		
1158	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattus,Rattus norvegicus	Rattus norvegicus	Available	10116	Norway rat	Rodentia	0.25	300.0		10.16	8.94	2.95	3.22	3.55	4.04	4.56	0.45	8.94	6.77
1159	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Zyzomys,Zyzomys palatalis	Zyzomys palatalis		2303643	Carpentarian rock rat	Rodentia	0.42	123.0	Age at female sexual maturity filled using lineage; 	8.6	6.2	no age record available	no age record available	no age record available	no age record available	6.2	0.72		
1160	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Zyzomys,Zyzomys pedunculatus	Zyzomys pedunculatus		442625	Central rock rat	Rodentia	0.42	100.0	Age at female sexual maturity filled using lineage; 	8.28	7.5	no age record available	no age record available	no age record available	no age record available	7.5	0.91		
1161	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Cricetomyinae,Cricetomys,Cricetomys emini	Cricetomys emini		107265	Giant rat	Rodentia	0.44	1300.0		13.34	7.4	no age record available	no age record available	no age record available	no age record available	7.4	0.55		
1162	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Cricetomyinae,Cricetomys,Cricetomys gambianus	Cricetomys gambianus		10085	Gambian rat	Rodentia	0.43	1500.0		13.7	8.4	no age record available	no age record available	no age record available	no age record available	8.4	0.61		
1163	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Dendromurinae,Dendromus,Dendromus melanotis	Dendromus melanotis		1424209	Gray climbing mouse	Rodentia	0.66	7.4	Age at female sexual maturity filled using lineage; 	5.1	4.2	no age record available	no age record available	no age record available	no age record available	4.2	0.82		
1164	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Nesomyinae,Hypogeomys,Hypogeomys antimena	Hypogeomys antimena		89379	Malagasy giant rat	Rodentia	2.0	1250.0		13.24	12.6	no age record available	no age record available	no age record available	no age record available	12.6	0.95		
